Career,Name," ""Team"""," ""Position"""," ""Height(inches)"""," ""Weight(lbs)"""," ""Age"""
TIC,Oscar Villarreal," ""ATL"""," ""Relief Pitcher""",72,205,25.27
TIC,Rafael Soriano," ""ATL"""," ""Relief Pitcher""",73,175,27.2
TIC,Chad Paronto," ""ATL"""," ""Relief Pitcher""",77,250,31.59
TIC,Tyler Yates," ""ATL"""," ""Relief Pitcher""",76,220,29.56
TIC,Henry Blanco," ""CHC"""," ""Catcher""",71,224,35.5
TIC,Michael Barrett," ""CHC"""," ""Catcher""",75,210,30.35
TIC,Geovany Soto," ""CHC"""," ""Catcher""",73,195,24.11
TIC,Scott Moore," ""CHC"""," ""First Baseman""",74,180,23.29
TIC,Derrek Lee," ""CHC"""," ""First Baseman""",77,245,31.48
TIC,Ryan Theriot," ""CHC"""," ""Second Baseman""",71,175,27.23
TIC,Ronny Cedeno," ""CHC"""," ""Shortstop""",72,180,24.07
TIC,Aramis Ramirez," ""CHC"""," ""Third Baseman""",73,215,28.68
TIC,Cesar Izturis," ""CHC"""," ""Third Baseman""",69,175,27.05
TIC,Alfonso Soriano," ""CHC"""," ""Outfielder""",73,180,31.15
TIC,Jacque Jones," ""CHC"""," ""Outfielder""",70,195,31.85
TIC,Daryle Ward," ""CHC"""," ""Outfielder""",74,230,31.68
TIC,Cliff Floyd," ""CHC"""," ""Outfielder""",76,230,34.23
TIC,Mark DeRosa," ""CHC"""," ""Outfielder""",73,205,32.01
TIC,Matt Murton," ""CHC"""," ""Outfielder""",73,215,25.41
TIC,Buck Coats," ""CHC"""," ""Outfielder""",75,195,24.73
TIC,Angel Pagan," ""CHC"""," ""Outfielder""",73,180,25.66
TIC,Sean Marshall," ""CHC"""," ""Starting Pitcher""",79,205,24.5
TIC,Carlos Marmol," ""CHC"""," ""Starting Pitcher""",74,180,24.38
TIC,Ryan O'Malley," ""CHC"""," ""Starting Pitcher""",73,190,26.89
TIC,Juan Mateo," ""CHC"""," ""Starting Pitcher""",74,180,24.2
TIC,Rich Hill," ""CHC"""," ""Starting Pitcher""",77,190,26.97
TIC,Angel Guzman," ""CHC"""," ""Starting Pitcher""",75,190,25.21
TIC,Wade Miller," ""CHC"""," ""Starting Pitcher""",74,220,30.46
TIC,Jason Marquis," ""CHC"""," ""Starting Pitcher""",73,210,28.53
TIC,Carlos Zambrano," ""CHC"""," ""Starting Pitcher""",77,255,25.75
TIC,Ted Lilly," ""CHC"""," ""Starting Pitcher""",73,190,31.15
TIC,Mark Prior," ""CHC"""," ""Starting Pitcher""",77,230,26.48
TIC,Neal Cotts," ""CHC"""," ""Relief Pitcher""",74,200,26.93
TIC,Will Ohman," ""CHC"""," ""Relief Pitcher""",74,205,29.55
TIC,Scott Eyre," ""CHC"""," ""Relief Pitcher""",73,210,34.75
TIC,Kerry Wood," ""CHC"""," ""Relief Pitcher""",77,225,29.71
TIC,Ryan Dempster," ""CHC"""," ""Relief Pitcher""",74,215,29.83
TIC,Bob Howry," ""CHC"""," ""Relief Pitcher""",77,220,33.57
TIC,Mike Wuertz," ""CHC"""," ""Relief Pitcher""",75,205,28.21
TIC,Roberto Novoa," ""CHC"""," ""Relief Pitcher""",77,200,27.54
TIC,Chris Snyder," ""ARZ"""," ""Catcher""",75,220,26.05
TIC,Miguel Montero," ""ARZ"""," ""Catcher""",71,197,23.64
TIC,Conor Jackson," ""ARZ"""," ""First Baseman""",74,225,24.82
TIC,Robby Hammock," ""ARZ"""," ""First Baseman""",70,187,29.8
TIC,Tony Clark," ""ARZ"""," ""First Baseman""",79,245,34.71
TIC,Orlando Hudson," ""ARZ"""," ""Second Baseman""",72,185,29.22
TIC,Stephen Drew," ""ARZ"""," ""Shortstop""",72,185,23.96
TIC,Alberto Callaspo," ""ARZ"""," ""Shortstop""",70,175,23.87
TIC,Chad Tracy," ""ARZ"""," ""Third Baseman""",74,200,26.77
TIC,Chris Young," ""ARZ"""," ""Outfielder""",74,180,23.49
TIC,Scott Hairston," ""ARZ"""," ""Outfielder""",72,188,26.77
TIC,Carlos Quentin," ""ARZ"""," ""Outfielder""",73,225,24.51
TIC,Jeff DaVanon," ""ARZ"""," ""Outfielder""",72,200,33.23
TIC,Eric Byrnes," ""ARZ"""," ""Outfielder""",74,210,31.04
TIC,Livan Hernandez," ""ARZ"""," ""Starting Pitcher""",74,245,32.02
TIC,Doug Davis," ""ARZ"""," ""Starting Pitcher""",76,213,31.44
TIC,Randy Johnson," ""ARZ"""," ""Starting Pitcher""",82,231,43.47
TIC,Juan Cruz," ""ARZ"""," ""Starting Pitcher""",74,165,28.38
TIC,Brandon Webb," ""ARZ"""," ""Starting Pitcher""",74,228,27.81
TIC,Enrique Gonzalez," ""ARZ"""," ""Starting Pitcher""",70,210,24.57
TIC,Dana Eveland," ""ARZ"""," ""Starting Pitcher""",73,250,23.34
TIC,Brandon Medders," ""ARZ"""," ""Relief Pitcher""",73,191,27.09
TIC,Tony Pe?a," ""ARZ"""," ""Relief Pitcher""",74,190,25.14
TIC,Doug Slaten," ""ARZ"""," ""Relief Pitcher""",77,200,27.07
TIC,Edgar Gonzalez," ""ARZ"""," ""Relief Pitcher""",72,215,24.02
TIC,Jose Valverde," ""ARZ"""," ""Relief Pitcher""",76,254,27.6
TIC,Jorge Julio," ""ARZ"""," ""Relief Pitcher""",73,232,27.99
TIC,Brandon Lyon," ""ARZ"""," ""Relief Pitcher""",73,180,27.56
TIC,Miguel Olivo," ""FLA"""," ""Catcher""",72,215,28.63
TIC,Matt Treanor," ""FLA"""," ""Catcher""",74,220,30.99
TIC,Mike Jacobs," ""FLA"""," ""First Baseman""",74,180,26.33
TIC,Dan Uggla," ""FLA"""," ""Second Baseman""",71,200,26.97
TIC,Robert Andino," ""FLA"""," ""Shortstop""",72,170,22.85
TIC,Hanley Ramirez," ""FLA"""," ""Shortstop""",75,195,23.19
TIC,Miguel Cabrera," ""FLA"""," ""Third Baseman""",74,210,23.87
TIC,Aaron Boone," ""FLA"""," ""Third Baseman""",74,200,33.98
TIC,Joe Borchard," ""FLA"""," ""Outfielder""",77,220,28.26
TIC,Alfredo Amezaga," ""FLA"""," ""Outfielder""",70,165,29.12
TIC,Cody Ross," ""FLA"""," ""Outfielder""",71,180,26.18
TIC,Josh Willingham," ""FLA"""," ""Outfielder""",73,200,28.03
TIC,Jeremy Hermida," ""FLA"""," ""Outfielder""",76,200,23.08
TIC,Eric Reed," ""FLA"""," ""Outfielder""",71,170,26.24
TIC,Reggi Abercrombie," ""FLA"""," ""Outfielder""",75,224,26.63
TIC,Ricky Nolasco," ""FLA"""," ""Starting Pitcher""",74,220,24.21
TIC,Anibal Sanchez," ""FLA"""," ""Starting Pitcher""",72,180,23.01
TIC,Scott Olsen," ""FLA"""," ""Starting Pitcher""",76,198,23.13
TIC,Josh Johnson," ""FLA"""," ""Starting Pitcher""",79,240,23.08
TIC,Dontrelle Willis," ""FLA"""," ""Starting Pitcher""",76,239,25.13
TIC,Logan Kensing," ""FLA"""," ""Relief Pitcher""",73,185,24.66
TIC,Sergio Mitre," ""FLA"""," ""Relief Pitcher""",76,210,26.03
TIC,Kevin Gregg," ""FLA"""," ""Relief Pitcher""",78,220,28.7
TIC,Travis Bowyer," ""FLA"""," ""Relief Pitcher""",75,200,25.57
TIC,Renyel Pinto," ""FLA"""," ""Relief Pitcher""",76,195,24.65
TIC,Randy Messenger," ""FLA"""," ""Relief Pitcher""",72,220,25.55
TIC,Yusmeiro Petit," ""FLA"""," ""Relief Pitcher""",72,230,22.27
TIC,Carlos Martinez," ""FLA"""," ""Relief Pitcher""",73,170,24.76
TIC,Taylor Tankersley," ""FLA"""," ""Relief Pitcher""",73,220,23.98
TIC,Henry Owens," ""FLA"""," ""Relief Pitcher""",75,230,27.85
TIC,Jose Garcia," ""FLA"""," ""Relief Pitcher""",71,165,22.14
TIC,Matt Lindstrom," ""FLA"""," ""Relief Pitcher""",76,205,27.05
TIC,Javier Valentin," ""CIN"""," ""Catcher""",70,192,31.45
TIC,Chad Moeller," ""CIN"""," ""Catcher""",75,210,32.03
TIC,David Ross," ""CIN"""," ""Catcher""",74,205,29.95
TIC,Joey Votto," ""CIN"""," ""First Baseman""",75,200,23.47
TIC,Scott Hatteberg," ""CIN"""," ""First Baseman""",73,210,37.21
TIC,Brandon Phillips," ""CIN"""," ""Second Baseman""",71,185,25.67
TIC,Juan Castro," ""CIN"""," ""Shortstop""",71,195,34.69
TIC,Alex Gonzalez," ""CIN"""," ""Shortstop""",72,202,30.04
TIC,Mark Bellhorn," ""CIN"""," ""Third Baseman""",73,205,32.52
TIC,Edwin Encarnacion," ""CIN"""," ""Third Baseman""",73,195,24.15
TIC,Jeff Keppinger," ""CIN"""," ""Third Baseman""",72,180,26.86
TIC,Norris Hopper," ""CIN"""," ""Outfielder""",69,200,27.94
TIC,Chris Denorfia," ""CIN"""," ""Outfielder""",73,185,26.63
TIC,Adam Dunn," ""CIN"""," ""Outfielder""",78,240,27.31
TIC,Bubba Crosby," ""CIN"""," ""Outfielder""",71,185,30.55
TIC,Jeff Conine," ""CIN"""," ""Outfielder""",73,220,40.68
TIC,Ken Griffey Jr.," ""CIN"""," ""Outfielder""",75,205,37.27
TIC,Josh Hamilton," ""CIN"""," ""Outfielder""",76,205,25.78
TIC,Ryan Freel," ""CIN"""," ""Outfielder""",70,180,30.98
TIC,Kyle Lohse," ""CIN"""," ""Starting Pitcher""",74,201,28.41
TIC,Bronson Arroyo," ""CIN"""," ""Starting Pitcher""",77,190,30.01
TIC,Eric Milton," ""CIN"""," ""Starting Pitcher""",75,208,31.57
TIC,Aaron Harang," ""CIN"""," ""Starting Pitcher""",79,240,28.81
TIC,Kirk Saarloos," ""CIN"""," ""Starting Pitcher""",72," """"",27.77
TIC,Elizardo Ramirez," ""CIN"""," ""Starting Pitcher""",72,180,24.09
TIC,Todd Coffey," ""CIN"""," ""Relief Pitcher""",77,230,26.47
TIC,Brian Shackelford," ""CIN"""," ""Relief Pitcher""",73,195,30.5
TIC,Bill Bray," ""CIN"""," ""Relief Pitcher""",75,215,23.74
TIC,Bobby Livingston," ""CIN"""," ""Relief Pitcher""",75,190,24.49
TIC,Matt Belisle," ""CIN"""," ""Relief Pitcher""",75,195,26.73
TIC,Gary Majewski," ""CIN"""," ""Relief Pitcher""",73,215,27.01
TIC,Mike Stanton," ""CIN"""," ""Relief Pitcher""",73,215,39.75
TIC,Brad Salmon," ""CIN"""," ""Relief Pitcher""",76,220,27.16
TIC,Jared Burton," ""CIN"""," ""Relief Pitcher""",77,220,25.74
TIC,David Weathers," ""CIN"""," ""Relief Pitcher""",75,230,37.43
TIC,Rheal Cormier," ""CIN"""," ""Relief Pitcher""",70,195,39.85
TIC,Yorvit Torrealba," ""COL"""," ""Catcher""",71,190,28.62
TIC,Chris Iannetta," ""COL"""," ""Catcher""",71,195,23.9
TIC,Alvin Colina," ""COL"""," ""Catcher""",75,209,25.18
TIC,Todd Helton," ""COL"""," ""First Baseman""",74,204,33.53
TIC,Jamey Carroll," ""COL"""," ""Second Baseman""",69,170,33.03
TIC,Kaz Matsui," ""COL"""," ""Second Baseman""",70,185,31.35
TIC,Troy Tulowitzki," ""COL"""," ""Shortstop""",75,205,22.39
TIC,Clint Barmes," ""COL"""," ""Shortstop""",72,175,27.99
TIC,Garrett Atkins," ""COL"""," ""Third Baseman""",75,210,27.22
TIC,Ryan Spilborghs," ""COL"""," ""Outfielder""",73,190,27.49
TIC,Cory Sullivan," ""COL"""," ""Outfielder""",72,180,27.53
TIC,Jeff Salazar," ""COL"""," ""Outfielder""",72,180,26.26
TIC,Willy Taveras," ""COL"""," ""Outfielder""",72,160,25.18
TIC,Matt Holliday," ""COL"""," ""Outfielder""",76,235,27.12
TIC,Brad Hawpe," ""COL"""," ""Outfielder""",75,200,27.69
TIC,Jeff Baker," ""COL"""," ""Outfielder""",74,210,25.69
TIC,Javy Lopez," ""COL"""," ""Designated Hitter""",75,224,36.32
TIC,Byung-Hyun Kim," ""COL"""," ""Starting Pitcher""",69,180,28.11
TIC,Rodrigo Lopez," ""COL"""," ""Starting Pitcher""",73,190,31.21
TIC,Brian Lawrence," ""COL"""," ""Starting Pitcher""",72,197,30.8
TIC,Josh Fogg," ""COL"""," ""Starting Pitcher""",72,203,30.21
TIC,Aaron Cook," ""COL"""," ""Starting Pitcher""",75,205,28.06
TIC,Denny Bautista," ""COL"""," ""Starting Pitcher""",77,170,26.52
TIC,Ubaldo Jimenez," ""COL"""," ""Starting Pitcher""",76,200,23.1
TIC,Jason Hirsh," ""COL"""," ""Starting Pitcher""",80,250,25.02
TIC,Jeff Francis," ""COL"""," ""Starting Pitcher""",77,200,26.14
TIC,Taylor Buchholz," ""COL"""," ""Starting Pitcher""",76,220,25.38
TIC,Ryan Speier," ""COL"""," ""Relief Pitcher""",79,200,27.6
TIC,Ramon Ramirez," ""COL"""," ""Relief Pitcher""",71,190,25.5
TIC,Manny Corpas," ""COL"""," ""Relief Pitcher""",75,170,24.24
TIC,Juan Morillo," ""COL"""," ""Relief Pitcher""",73,190,23.32
TIC,Brian Fuentes," ""COL"""," ""Relief Pitcher""",76,220,31.56
TIC,LaTroy Hawkins," ""COL"""," ""Relief Pitcher""",77,215,34.19
TIC,Tom Martin," ""COL"""," ""Relief Pitcher""",73,206,36.78
TIC,Jeremy Affeldt," ""COL"""," ""Relief Pitcher""",76,215,27.73
TIC,Paul Lo Duca," ""NYM"""," ""Catcher""",70,185,34.88
TIC,Ramon Castro," ""NYM"""," ""Catcher""",75,235,31
TIC,Julio Franco," ""NYM"""," ""First Baseman""",73,188,48.52
TIC,Carlos Delgado," ""NYM"""," ""First Baseman""",75,230,34.68
TIC,Jose Valentin," ""NYM"""," ""Second Baseman""",70,195,37.38
TIC,Anderson Hernandez," ""NYM"""," ""Second Baseman""",69,168,24.33
TIC,Damion Easley," ""NYM"""," ""Shortstop""",71,190,37.3
TIC,Jose Reyes," ""NYM"""," ""Shortstop""",72,160,23.72
TIC,David Wright," ""NYM"""," ""Third Baseman""",72,200,24.19
TIC,Ben Johnson," ""NYM"""," ""Outfielder""",73,200,25.7
TIC,Endy Chavez," ""NYM"""," ""Outfielder""",70,189,29.06
TIC,David Newhan," ""NYM"""," ""Outfielder""",70,180,33.48
TIC,Carlos Beltran," ""NYM"""," ""Outfielder""",73,190,29.85
TIC,Shawn Green," ""NYM"""," ""Outfielder""",76,200,34.3
TIC,Moises Alou," ""NYM"""," ""Outfielder""",75,220,40.66
TIC,Lastings Milledge," ""NYM"""," ""Outfielder""",72,187,21.9
TIC,Alay Soler," ""NYM"""," ""Starting Pitcher""",73,240,27.39
TIC,Mike Pelfrey," ""NYM"""," ""Starting Pitcher""",79,190,23.13
TIC,Pedro Martinez," ""NYM"""," ""Starting Pitcher""",71,180,35.35
TIC,Tom Glavine," ""NYM"""," ""Starting Pitcher""",72,185,40.93
TIC,Chan Ho Park," ""NYM"""," ""Starting Pitcher""",74,210,33.67
TIC,Orlando Hernandez," ""NYM"""," ""Starting Pitcher""",74,220,37.39
TIC,Dave Williams," ""NYM"""," ""Starting Pitcher""",74,219,27.97
TIC,Oliver Perez," ""NYM"""," ""Starting Pitcher""",72,190,25.54
TIC,John Maine," ""NYM"""," ""Starting Pitcher""",76,193,25.81
TIC,Marcos Carvajal," ""NYM"""," ""Relief Pitcher""",76,175,22.53
TIC,Ambiorix Burgos," ""NYM"""," ""Relief Pitcher""",72,180,22.86
TIC,Jason Vargas," ""NYM"""," ""Relief Pitcher""",72,215,24.07
TIC,Jon Adkins," ""NYM"""," ""Relief Pitcher""",71,210,29.5
TIC,Juan Padilla," ""NYM"""," ""Relief Pitcher""",72,200,30.03
TIC,Duaner Sanchez," ""NYM"""," ""Relief Pitcher""",72,190,27.38
TIC,Pedro Feliciano," ""NYM"""," ""Relief Pitcher""",70,185,30.51
TIC,Aaron Heilman," ""NYM"""," ""Relief Pitcher""",77,220,28.3
TIC,Jorge Sosa," ""NYM"""," ""Relief Pitcher""",74,170,29.84
TIC,Scott Schoeneweis," ""NYM"""," ""Relief Pitcher""",72,195,33.41
TIC,Guillermo Mota," ""NYM"""," ""Relief Pitcher""",76,205,33.6
TIC,Billy Wagner," ""NYM"""," ""Relief Pitcher""",71,195,35.6
TIC,Philip Humber," ""NYM"""," ""Relief Pitcher""",76,210,24.19
TIC,Brad Ausmus," ""HOU"""," ""Catcher""",71,190,37.88
TIC,Humberto Quintero," ""HOU"""," ""Catcher""",73,190,27.56
TIC,Hector Gimenez," ""HOU"""," ""Catcher""",70,180,24.42
TIC,Lance Berkman," ""HOU"""," ""First Baseman""",73,220,31.05
TIC,Mike Lamb," ""HOU"""," ""First Baseman""",73,190,31.56
TIC,Mark Loretta," ""HOU"""," ""Second Baseman""",72,186,35.55
TIC,Craig Biggio," ""HOU"""," ""Second Baseman""",71,185,41.21
TIC,Brooks Conrad," ""HOU"""," ""Second Baseman""",71,190,27.12
TIC,Chris Burke," ""HOU"""," ""Second Baseman""",71,180,26.97
TIC,Eric Bruntlett," ""HOU"""," ""Second Baseman""",72,190,28.92
TIC,Adam Everett," ""HOU"""," ""Shortstop""",72,170,30.06
TIC,Morgan Ensberg," ""HOU"""," ""Third Baseman""",74,210,31.51
TIC,Carlos Lee," ""HOU"""," ""Outfielder""",74,240,30.69
TIC,Jason Lane," ""HOU"""," ""Outfielder""",74,220,30.19
TIC,Orlando Palmeiro," ""HOU"""," ""Outfielder""",71,180,38.11
TIC,Luke Scott," ""HOU"""," ""Outfielder""",72,210,28.68
TIC,Charlton Jimerson," ""HOU"""," ""Outfielder""",75,210,27.44
TIC,Fernando Nieve," ""HOU"""," ""Starting Pitcher""",72,195,24.63
TIC,Wandy Rodriguez," ""HOU"""," ""Starting Pitcher""",71,160,28.11
TIC,Brandon Backe," ""HOU"""," ""Starting Pitcher""",72,180,28.9
TIC,Matt Albers," ""HOU"""," ""Starting Pitcher""",72,205,24.11
TIC,Woody Williams," ""HOU"""," ""Starting Pitcher""",72,200,40.53
TIC,Roy Oswalt," ""HOU"""," ""Starting Pitcher""",72,185,29.5
TIC,Jason Jennings," ""HOU"""," ""Starting Pitcher""",74,245,28.62
TIC,Miguel Asencio," ""HOU"""," ""Relief Pitcher""",74,190,26.42
TIC,Brad Lidge," ""HOU"""," ""Relief Pitcher""",77,210,30.18
TIC,Trever Miller," ""HOU"""," ""Relief Pitcher""",75,200,33.75
TIC,David Borkowski," ""HOU"""," ""Relief Pitcher""",73,200,30.06
TIC,Dan Wheeler," ""HOU"""," ""Relief Pitcher""",75,222,29.22
TIC,Paul Estrada," ""HOU"""," ""Relief Pitcher""",73,215,24.47
TIC,Lincoln Holdzkom," ""HOU"""," ""Relief Pitcher""",76,240,24.94
TIC,Chris Sampson," ""HOU"""," ""Relief Pitcher""",72,170,28.77
TIC,Chad Qualls," ""HOU"""," ""Relief Pitcher""",77,220,28.54
TIC,Ezequiel Astacio," ""HOU"""," ""Relief Pitcher""",75,156,27.32
TIC,Mike Lieberthal," ""LA"""," ""Catcher""",72,190,35.12
TIC,Russell Martin," ""LA"""," ""Catcher""",71,202,24.04
TIC,Olmedo Saenz," ""LA"""," ""First Baseman""",71,221,36.39
TIC,James Loney," ""LA"""," ""First Baseman""",75,200,22.81
TIC,Nomar Garciaparra," ""LA"""," ""First Baseman""",72,190,33.6
TIC,Jeff Kent," ""LA"""," ""Second Baseman""",73,210,38.98
TIC,Ramon Martinez," ""LA"""," ""Second Baseman""",73,190,34.39
TIC,Marlon Anderson," ""LA"""," ""Second Baseman""",71,200,33.15
TIC,Rafael Furcal," ""LA"""," ""Shortstop""",70,165,29.35
TIC,Wilson Betemit," ""LA"""," ""Third Baseman""",75,190,26.59
TIC,Andy LaRoche," ""LA"""," ""Third Baseman""",71,185,23.46
TIC,Matt Kemp," ""LA"""," ""Outfielder""",76,230,22.43
TIC,Andre Ethier," ""LA"""," ""Outfielder""",73,208,24.89
TIC,Delwyn Young," ""LA"""," ""Outfielder""",68,209,24.67
TIC,Jason Repko," ""LA"""," ""Outfielder""",71,175,26.17
TIC,Juan Pierre," ""LA"""," ""Outfielder""",72,180,29.54
TIC,Luis Gonzalez," ""LA"""," ""Outfielder""",74,200,39.49
TIC,Jason Schmidt," ""LA"""," ""Starting Pitcher""",77,205,34.08
TIC,Randy Wolf," ""LA"""," ""Starting Pitcher""",72,200,30.52
TIC,Brad Penny," ""LA"""," ""Starting Pitcher""",76,250,28.77
TIC,Derek Lowe," ""LA"""," ""Starting Pitcher""",78,210,33.75
TIC,Mark Hendrickson," ""LA"""," ""Starting Pitcher""",81,230,32.69
TIC,Chad Billingsley," ""LA"""," ""Starting Pitcher""",72,244,22.59
TIC,Takashi Saito," ""LA"""," ""Relief Pitcher""",73,202,37.04
TIC,Jonathan Broxton," ""LA"""," ""Relief Pitcher""",76,240,22.7
TIC,Hong-Chih Kuo," ""LA"""," ""Relief Pitcher""",72,200,25.6
TIC,Eric Stults," ""LA"""," ""Relief Pitcher""",72,215,27.23
TIC,Chin-Hui Tsao," ""LA"""," ""Relief Pitcher""",74,177,25.74
TIC,Tim Hamulack," ""LA"""," ""Relief Pitcher""",76,210,30.29
TIC,Yhency Brazoban," ""LA"""," ""Relief Pitcher""",73,170,26.72
TIC,Brett Tomko," ""LA"""," ""Relief Pitcher""",76,215,33.9
TIC,Joe Beimel," ""LA"""," ""Relief Pitcher""",75,217,29.86
TIC,Elmer Dessens," ""LA"""," ""Relief Pitcher""",70,198,36.13
TIC,Ryan Budde," ""PHI"""," ""Catcher""",71,200,27.54
TIC,Rod Barajas," ""PHI"""," ""Catcher""",74,220,31.49
TIC,Carlos Ruiz," ""PHI"""," ""Catcher""",72,170,28.1
TIC,Chris Coste," ""PHI"""," ""Catcher""",73,200,34.07
TIC,Ryan Howard," ""PHI"""," ""First Baseman""",76,230,27.28
TIC,Wes Helms," ""PHI"""," ""First Baseman""",76,231,30.8
TIC,Chase Utley," ""PHI"""," ""Second Baseman""",73,183,28.2
TIC,Danny Sandoval," ""PHI"""," ""Second Baseman""",71,192,27.9
TIC,Jimmy Rollins," ""PHI"""," ""Shortstop""",68,167,28.26
TIC,Abraham Nu?ez," ""PHI"""," ""Third Baseman""",71,190,30.96
TIC,Michael Bourn," ""PHI"""," ""Outfielder""",71,180,24.18
TIC,Chris Roberson," ""PHI"""," ""Outfielder""",74,180,27.52
TIC,Jayson Werth," ""PHI"""," ""Outfielder""",77,215,27.78
TIC,Shane Victorino," ""PHI"""," ""Outfielder""",69,160,26.25
TIC,Aaron Rowand," ""PHI"""," ""Outfielder""",72,205,29.5
TIC,Pat Burrell," ""PHI"""," ""Outfielder""",76,223,30.39
TIC,Greg Dobbs," ""PHI"""," ""Designated Hitter""",73,205,28.66
TIC,Cole Hamels," ""PHI"""," ""Starting Pitcher""",75,175,23.18
TIC,Alfredo Simon," ""PHI"""," ""Starting Pitcher""",76,170,25.81
TIC,Scott Mathieson," ""PHI"""," ""Starting Pitcher""",75,190,23.01
TIC,Freddy Garcia," ""PHI"""," ""Starting Pitcher""",76,240,31.72
TIC,Jamie Moyer," ""PHI"""," ""Starting Pitcher""",72,175,44.28
TIC,Jon Lieber," ""PHI"""," ""Starting Pitcher""",74,230,36.91
TIC,Brett Myers," ""PHI"""," ""Starting Pitcher""",76,223,26.54
TIC,Adam Eaton," ""PHI"""," ""Starting Pitcher""",74,196,29.27
TIC,Geoff Geary," ""PHI"""," ""Relief Pitcher""",72,167,30.51
TIC,Clay Condrey," ""PHI"""," ""Relief Pitcher""",75,195,31.28
TIC,Ryan Madson," ""PHI"""," ""Relief Pitcher""",78,190,26.51
TIC,Antonio Alfonseca," ""PHI"""," ""Relief Pitcher""",77,250,34.87
TIC,Tom Gordon," ""PHI"""," ""Relief Pitcher""",70,190,39.28
TIC,Brian Sanches," ""PHI"""," ""Relief Pitcher""",72,190,28.56
TIC,Jim Ed Warden," ""PHI"""," ""Relief Pitcher""",79,190,27.82
TIC,Anderson Garcia," ""PHI"""," ""Relief Pitcher""",74,170,25.94
TIC,Eude Brito," ""PHI"""," ""Relief Pitcher""",71,160,28.53
TIC,Fabio Castro," ""PHI"""," ""Relief Pitcher""",68,150,22.11
TIC,Matt Smith," ""PHI"""," ""Relief Pitcher""",77,225,27.71
TIC,Damian Miller," ""MLW"""," ""Catcher""",75,220,37.38
TIC,Johnny Estrada," ""MLW"""," ""Catcher""",71,209,30.67
TIC,Mike Rivera," ""MLW"""," ""Catcher""",72,210,30.48
TIC,J.D. Closser," ""MLW"""," ""Catcher""",70,176,27.12
TIC,Prince Fielder," ""MLW"""," ""First Baseman""",72,260,22.81
TIC,Rickie Weeks," ""MLW"""," ""Second Baseman""",72,195,24.46
TIC,Tony Graffanino," ""MLW"""," ""Second Baseman""",73,190,34.73
TIC,Craig Counsell," ""MLW"""," ""Shortstop""",72,184,36.53
